product_id,product_name,category,subcategory,brand,mrp,base_selling_price,is_active
65,UrbanHarvest Carrots 500 g,Fruits and vegetables,Fresh Vegetables,UrbanHarvest,25.0,21.0,True
66,UrbanHarvest Coriander 200 g,Fruits and vegetables,Herbs and Leafy Greens,UrbanHarvest,47.0,46.0,True
67,FreshNest Sunflower Oil 500 ml,Packaged foods,Cooking Oil,FreshNest,637.0,599.0,True
68,QuickChoice Packaged Drinking Water 1 L,Beverages,Packaged Water,QuickChoice,40.0,39.0,True
69,QuickChoice Packaged Drinking Water 1 L,Beverages,Packaged Water,QuickChoice,34.0,27.0,True
70,QuickChoice Soy Sauce 1 kg,Packaged foods,Sauces and Condiments,QuickChoice,254.0,251.0,True
71,FreshNest Moong Dal 500 g,Packaged foods,Pulses,FreshNest,147.0,145.0,True
72,HomeBright Room Freshener Spray 300 ml,Household care,Air Fresheners,HomeBright,158.0,152.0,True
73,UrbanHarvest Mint 200 g,Fruits and vegetables,Herbs and Leafy Greens,UrbanHarvest,16.0,16.0,True
74,UrbanHarvest Mint 100 g,Fruits and vegetables,Herbs and Leafy Greens,UrbanHarvest,45.0,41.0,True
75,FreshNest Toor Dal 500 g,Packaged foods,Pulses,FreshNest,199.0,154.0,True
76,QuickChoice Lemon Soda 1.25 L,Beverages,Soft Drinks,QuickChoice,31.0,24.0,True
77,FreshNest Multigrain Bread 400 g,Dairy and breakfast,Bread,FreshNest,46.0,41.0,True
78,SnackCraft Mixture 200 g,Snacks,Namkeen,SnackCraft,107.0,87.0,True
79,SnackCraft Moong Dal Namkeen 150 g,Snacks,Namkeen,SnackCraft,91.0,83.0,True
80,SnackCraft Masala Chips 90 g,Snacks,Chips,SnackCraft,22.0,19.0,True
81,QuickChoice Packaged Drinking Water 1 L,Beverages,Packaged Water,QuickChoice,36.0,32.0,True
82,DailyDrop Ready to Eat Poha 140 g,Packaged foods,Instant Food,DailyDrop,29.0,25.0,True
83,QuickChoice Orange Soda 1.25 L,Beverages,Soft Drinks,QuickChoice,76.0,67.0,True
84,DailyDrop Farm Eggs 12 Pieces,Dairy and breakfast,Eggs,DailyDrop,93.0,87.0,True
85,FreshNest Bananas 500 g,Fruits and vegetables,Fresh Fruits,FreshNest,173.0,163.0,True
86,UrbanHarvest Wheat Atta 1 kg,Packaged foods,Atta and Flour,UrbanHarvest,60.0,57.0,True
87,SnackCraft Cream and Onion Chips 90 g,Snacks,Chips,SnackCraft,13.0,11.0,True
88,UrbanHarvest Cucumbers 1 kg,Fruits and vegetables,Fresh Vegetables,UrbanHarvest,82.0,67.0,True
89,PureLeaf Apple Juice 200 ml,Beverages,Juices,PureLeaf,92.0,70.0,True
90,HomeBright Glass Cleaner 500 ml,Household care,Cleaners,HomeBright,297.0,295.0,True
91,SnackCraft Aloo Bhujia 400 g,Snacks,Namkeen,SnackCraft,67.0,62.0,True
92,FreshNest Brown Bread 600 g,Dairy and breakfast,Bread,FreshNest,45.0,42.0,True
93,SnackCraft Aloo Bhujia 400 g,Snacks,Namkeen,SnackCraft,111.0,89.0,True
94,FreshNest Toor Dal 500 g,Packaged foods,Pulses,FreshNest,338.0,305.0,True
95,FreshNest Multigrain Bread 600 g,Dairy and breakfast,Bread,FreshNest,52.0,46.0,True
96,HomeBright Dishwash Bar 1 Piece,Household care,Dishwash,HomeBright,43.0,39.0,True
97,HomeBright Laundry Liquid Detergent 1 L,Household care,Detergents,HomeBright,269.0,250.0,True
98,QuickChoice Toothbrush 1 Piece,Personal care,Oral Care,QuickChoice,52.0,45.0,True
99,UrbanHarvest Bananas 500 g,Fruits and vegetables,Fresh Fruits,UrbanHarvest,137.0,136.0,True
100,QuickChoice Hair Oil 340 ml,Personal care,Hair Care,QuickChoice,77.0,77.0,True
